Date,Event(s)
2019-09-02 00:00:00,"Labour Day, no scheduled academic activities."
2019-09-03 00:00:00,"Start date, Bachelor of Education (see Faculty of Education's Field Experience Handbook)."
2019-09-03 00:00:00 to 2019-09-04 00:00:00,Fall semester orientation.
2019-09-05 00:00:00,"Lectures begin, fall semester."
2019-09-18 00:00:00,"End of regular registration period; last day to add courses, fall semester."
,"Last day to drop courses and receive a 100 per cent refund of tuition fees, fall semester."
,Fall semester fees due.
2019-10-01 00:00:00,Last day to submit online application for graduation for students completing degree requirements at the end of the summer semester.
2019-10-02 00:00:00,"Last day to withdraw from fall semester courses without academic consequences (i.e., without receiving a grade). Courses dropped after this date will be recorded on the academic transcript with a grade of W to indicate withdrawal."
,"Last day to drop courses and receive a 50 per cent refund of tuition fees, fall semester."
2019-10-14 00:00:00,"Thanksgiving Day, no scheduled academic activities."
2019-10-15 00:00:00 to 2019-10-20 00:00:00,"Fall study week, no scheduled academic activities."
2019-11-13 00:00:00,Last day to withdraw from fall semester courses. Active fall semester courses will be graded by instructors.
2019-12-04 00:00:00,"Lectures end, fall semester, except Bachelor of Education."
2019-12-05 00:00:00,"Study break, no scheduled academic activities."
2019-12-06 00:00:00 to 2019-12-15 00:00:00,"Fall semester final examination period. Students are advised not to make commitments during this period (i.e., vacation, travel plans)."
2019-12-20 00:00:00,"Lectures end, Bachelor of Education."
2019-12-23 00:00:00 to 2019-12-23 00:00:00,University closed.
2019-12-31 00:00:00,Last day to submit online application for graduation for students completing degree requirements at the end of the fall semester.
2020-01-02 00:00:00,University reopens.
2020-01-06 00:00:00,"Lectures begin for all programs, winter semester."
2020-01-17 00:00:00,"End of regular registration period; last day to add courses, winter semester."
,"Last day to drop courses and receive a 100 per cent refund of tuition fees, winter semester."
,Winter semester fees due.
2020-01-31 00:00:00,"Last day to withdraw from winter semester courses without academic consequences (i.e., without receiving a grade). Courses dropped after this date will be recorded on the academic transcript with a grade of W to indicate withdrawal."
,"Last day to drop courses and receive a 50 per cent refund of tuition fees, winter semester."
2020-02-17 00:00:00,"Family Day, no scheduled academic activities."
2020-02-18 00:00:00 to 2020-02-23 00:00:00,"Winter study week, no scheduled academic activities."
2020-02-28 00:00:00,Last day to submit online application for graduation for the spring session of convocation for students completing degree requirements at the end of the winter semester.
2020-03-13 00:00:00,Last day to withdraw from winter semester courses. Active winter semester courses will be graded by instructors.
2020-04-04 00:00:00,"Lectures end, winter semester, except Bachelor of Education."
2020-04-05 00:00:00,"Study break, no scheduled academic activities."
2020-04-06 00:00:00 to 2020-04-17 00:00:00,"Winter semester final examination period. Students are advised not to make commitments during this period (i.e., vacation, travel plans)."
2020-04-10 00:00:00,"Good Friday, no scheduled academic activities."
2020-04-12 00:00:00,"Easter Sunday, no scheduled academic activities."
2020-04-24 00:00:00,"Lectures end, Bachelor of Education."
2020-04-27 00:00:00,"Start date, Bachelor of Education (see Faculty of Education's Field Experience Handbook)"
2020-05-04 00:00:00,"Lectures begin, six-week spring session and 12-week summer semester."
2020-05-08 00:00:00,Last day to add six-week spring session courses.
,Last day to drop six-week spring session courses and receive a 100 per cent refund of tuition fees.
,Six-week spring session and 12-week summer semester fees due. Fees are due at the time of registration for any six-week spring session or 12-week summer semester courses registered after this date.
2020-05-15 00:00:00,"Last day to add courses, 12-week summer semester."
,Last day to drop 12-week summer semester courses and receive a 100 per cent refund of tuition fees.
,Last day to withdraw from six-week spring session courses and receive a 50 per cent refund of tuition fees.
,"Last day to withdraw from six-week spring session courses without academic consequences (i.e., without receiving a grade). Courses dropped after this date will be recorded on the academic transcript with a grade of W to indicate withdrawal."
2020-05-18 00:00:00,"Victoria Day, no scheduled academic activities."
2020-06-01 00:00:00,Last day to drop 12-week summer semester courses and receive a 50 per cent refund of tuition fees.
,"Last day to withdraw from 12-week summer semester courses without academic consequences (i.e., without receiving a grade). Courses dropped after this date will be recorded on the academic transcript with a grade of W to indicate withdrawal."
,Last day to withdraw from six-week spring session courses. Active six-week spring session courses will be graded by instructors.
2020-06-04 00:00:00 to 2020-06-05 00:00:00,"Spring convocation. For more details, please refer to uoit.ca/convocation."
2020-06-15 00:00:00,"Lectures end, six-week spring session."
2020-06-16 00:00:00,"Spring six-week session study break, no scheduled academic activities."
2020-06-16 00:00:00 to 2020-06-20 00:00:00,"Study break, 12-week summer semester, except Bachelor of Education."
2020-06-17 00:00:00 to 2020-06-20 00:00:00,"Spring session final examination period. Students are advised not to make commitments during this period (i.e., vacation, travel plans)."
2020-06-22 00:00:00,"Lectures begin, six-week summer session."
,"Lectures resume, 12-week summer semester."
,Six-week summer session fees due. Fees are due at the time of registration for any six-week summer session courses registered after this date.
2020-06-26 00:00:00,"Lectures end, Bachelor of Education nine-week session."
2020-06-26 00:00:00,"Last day to add courses, six-week summer session."
,Last day to drop six-week summer session courses and receive a 100 per cent refund of tuition fees.
2020-07-01 00:00:00,"Canada Day, no scheduled academic activities."
2020-07-06 00:00:00,Last day to drop six-week summer session courses and receive a 50 per cent refund of tuition fees.
,"Last day to withdraw from six-week summer session courses without academic consequences (i.e., without receiving a grade). Courses dropped after this date will be recorded on the academic transcript with a grade of W to indicate withdrawal."
2020-07-13 00:00:00,Last day to withdraw from 12-week summer semester courses. Active 12-week summer semester courses will be graded by instructors.
2020-07-20 00:00:00,Last day to withdraw from six-week summer session courses.Active six-week summer session courses will be graded by instructors.
2020-08-03 00:00:00,"Civic holiday, no scheduled academic activities."
2020-08-04 00:00:00,"Lectures will follow the Wednesday schedule on this day only. Lectures end, 12-week summer semester and six-week summer session."
2020-08-05 00:00:00,"Study break, no scheduled academic activities."
2020-08-06 00:00:00 to 2020-08-09 00:00:00,"Summer semester final examination period (includes six-week and 12-week courses). Students are advised not to make commitments during this period (i.e., vacation, travel plans)."
